startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 22 09:31:28,2016 Mar 22 10:17:42,1458639088.0,1458641862.0,2774.0,428227.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 10:17:42,2016 Mar 22 10:55:43,1458641862.0,1458644143.0,2281.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 10:55:44,2016 Mar 22 11:00:08,1458644144.0,1458644408.0,264.0,1.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:00:08,2016 Mar 22 11:00:55,1458644408.0,1458644455.0,47.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:00:55,2016 Mar 22 11:07:41,1458644455.0,1458644861.0,406.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:07:58,2016 Mar 22 11:09:39,1458644878.0,1458644979.0,101.0,17.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:09:58,2016 Mar 22 11:13:25,1458644998.0,1458645205.0,207.0,19.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:13:25,2016 Mar 22 11:25:47,1458645205.0,1458645947.0,742.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:25:47,2016 Mar 22 11:32:03,1458645947.0,1458646323.0,376.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:32:04,2016 Mar 22 11:47:11,1458646324.0,1458647231.0,907.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:47:11,2016 Mar 22 11:50:07,1458647231.0,1458647407.0,176.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:50:07,2016 Mar 22 11:56:57,1458647407.0,1458647817.0,410.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 11:56:58,2016 Mar 22 12:06:48,1458647818.0,1458648408.0,590.0,1.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:06:48,2016 Mar 22 12:08:45,1458648408.0,1458648525.0,117.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:08:45,2016 Mar 22 12:14:19,1458648525.0,1458648859.0,334.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:14:19,2016 Mar 22 12:18:39,1458648859.0,1458649119.0,260.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:18:40,2016 Mar 22 12:20:38,1458649120.0,1458649238.0,118.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:20:38,2016 Mar 22 12:23:23,1458649238.0,1458649403.0,165.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:23:23,2016 Mar 22 12:27:21,1458649403.0,1458649641.0,238.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:27:21,2016 Mar 22 12:29:47,1458649641.0,1458649787.0,146.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:29:47,2016 Mar 22 12:29:47,1458649787.0,1458649787.0,0.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:29:47,2016 Mar 22 12:32:04,1458649787.0,1458649924.0,137.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:32:04,2016 Mar 22 12:33:12,1458649924.0,1458649992.0,68.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:33:12,2016 Mar 22 12:37:33,1458649992.0,1458650253.0,261.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:37:34,2016 Mar 22 12:40:12,1458650254.0,1458650412.0,158.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:40:12,2016 Mar 22 12:43:46,1458650412.0,1458650626.0,214.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:43:47,2016 Mar 22 12:49:57,1458650627.0,1458650997.0,370.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:49:58,2016 Mar 22 12:58:30,1458650998.0,1458651510.0,512.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 12:58:30,2016 Mar 22 13:12:46,1458651510.0,1458652366.0,856.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:12:46,2016 Mar 22 13:12:46,1458652366.0,1458652366.0,0.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:12:46,2016 Mar 22 13:21:47,1458652366.0,1458652907.0,541.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:21:48,2016 Mar 22 13:36:36,1458652908.0,1458653796.0,888.0,1.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:36:36,2016 Mar 22 13:38:38,1458653796.0,1458653918.0,122.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:38:38,2016 Mar 22 13:39:17,1458653918.0,1458653957.0,39.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:39:17,2016 Mar 22 13:44:02,1458653957.0,1458654242.0,285.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:44:02,2016 Mar 22 13:53:32,1458654242.0,1458654812.0,570.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 13:53:32,2016 Mar 22 14:00:19,1458654812.0,1458655219.0,407.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 22 14:00:19,2016 Mar 22 14:00:23,1458655219.0,1458655223.0,4.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
