startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 May 31 19:09:40,2016 May 31 19:09:40,1464721780.0,1464721780.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 31 19:09:41,2016 May 31 19:09:41,1464721781.0,1464721781.0,0.0,1.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 May 31 19:09:42,2016 May 31 19:09:42,1464721782.0,1464721782.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun  1 20:53:50,2016 Jun  1 20:54:48,1464814430.0,1464814488.0,58.0,92648.0,1/11,disabled,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 21 19:31:45,2016 Jun 21 19:31:46,1466537505.0,1466537506.0,1.0,1723017.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 21 19:31:46,2016 Jun 21 19:31:50,1466537506.0,1466537510.0,4.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 21 19:31:50,2016 Jun 21 19:31:50,1466537510.0,1466537510.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 23 05:17:09,2016 Jun 23 05:17:24,1466659029.0,1466659044.0,15.0,121519.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 23 05:17:25,2016 Jun 23 05:17:25,1466659045.0,1466659045.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 23 05:17:26,2016 Jun 23 05:17:26,1466659046.0,1466659046.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 28 06:12:16,2016 Jun 28 06:16:41,1467094336.0,1467094601.0,265.0,435290.0,1/11,lacp block,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 28 06:17:34,2016 Jun 28 06:17:36,1467094654.0,1467094656.0,2.0,53.0,1/11,lacp block,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 28 06:36:27,2016 Jun 28 07:36:40,1467095787.0,1467099400.0,3613.0,1131.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jun 28 07:36:51,2016 Jun 28 07:38:57,1467099411.0,1467099537.0,126.0,11.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Jul  1 03:43:36,2016 Jul  1 03:45:32,1467344616.0,1467344732.0,116.0,245079.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
